sample;arboreta;arb;plot;Arboreta;nGrains;ratio;lat;long;year_mean;gs_mean;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12
Mean;Bergen;Ber;1;1;200;1.319;60.2557;5.27066;966;1363;1779;1751;1718;1704;1628;1481;1394;1326;1220;1132;1050;987
Mean;Stockholm;Sto;1;2;200;1.6943;59.37007;18.04588;1144;1654;3082;2695;2243;2131;2090;2012;1888;1774;1695;1592;1511;1434
Mean;Benmore;Ben;2;3;200;1.773;56.02557;-4.98842;1224;1799;1826;1841;1702;1546;1395;1283;1215;1132;1062;992;915;851
Mean;Edinburgh;Edi;2;4;200;1.5767;55.96495;-3.21016;1163;1666;1228;1629;1610;1474;1318;1250;1161;1115;1053;980;911;848
Mean;Dublin;Dub;1;5;200;1.311;53.37308;-6.27309;1313;1982;2030;2086;1928;1727;1547;1422;1351;1266;1170;1096;1012;950
Mean;Bedgebury;Bed;1;6;200;1.2638;51.07488;0.45095;1610;2234;2027;2169;2010;1827;1696;1653;1565;1474;1362;1250;1157;1093
Mean;Munich;Mun;1;7;200;1.1215;48.16384;11.49772;1574;2256;2344;2257;2223;2141;1978;1925;1918;1822;1787;1750;1663;1584
Mean;Salzburg;Sal;1;8;200;1.4526;47.78684;13.05961;1621;2350;2085;2143;2064;1922;1876;1876;1770;1746;1688;1603;1534;1444
Mean;Geneve;Gen;1;9;200;1.9666;46.22534;6.1465;1866;2584;2400;2664;2434;2332;2132;2125;2050;1928;1789;1653;1534;1446
Mean;Ljubljana;Lju;1;10;200;1.0666;46.04039;14.51429;1830;2606;1634;1833;1850;1853;1692;1745;1686;1549;1431;1343;1264;1190
Mean;Podgorica;Pod;1;11;200;1.3544;42.44282;19.26608;2112;2970;2247;2659;2521;2363;2275;2238;2265;2134;2173;2131;2034;1952
Mean;Pontevedra;Pon;1;12;200;1.6315;42.40986;-8.66352;2316;3358;3566;3060;2548;2274;2238;2180;1997;1875;1770;1650;1537;1446
Mean;Tirana;Tir;1;13;200;1.2136;41.30964;19.8061;2250;3194;1799;1937;2083;1936;1718;1576;1493;1380;1297;1199;1128;1073
