sample;labNO;arboreta;species;tree;nGrains;ratio
1731;N214;Bedgebury;P. sylvestris;P18.4;200;1.3804
1741;N213;Bedgebury;P. sylvestris;P18.4;200;1.4159
1997;N319;Bedgebury;P. sylvestris;P18.4;200;0.9951
1933;N301;Benmore;P. sylvestris;P11.3;200;2.0243
2031;N315;Benmore;P. sylvestris;P11.3;200;1.8209
2039;N314;Benmore;P. sylvestris;P11.3;200;1.4738
1092;B013;Bergen;P. sylvestris;T1-C;200;1.5261
1106;B014;Bergen;P. sylvestris;T1-C;200;1.0439
1114;B015;Bergen;P. sylvestris;T1-C;200;0.8385
1094;B016;Bergen;P. sylvestris;T2-C;200;1.1594
1108;B017;Bergen;P. sylvestris;T2-C;200;0.7841
1120;B018;Bergen;P. sylvestris;T2-C;200;1.0917
1171;B133;Bergen;P. sylvestris;T3-C;200;1.0194
1245;B135;Bergen;P. sylvestris;T3-C;200;1.3304
1306;B162;Bergen;P. sylvestris;T3-C;200;1.2262
1099;B043;Bergen;P. sylvestris;T4-C;200;0.8132
1111;B044;Bergen;P. sylvestris;T4-C;200;2.0126
1122;B045;Bergen;P. sylvestris;T4-C;200;1.2188
1173;B139;Bergen;P. sylvestris;T5-C;200;1.4712
1241;B140;Bergen;P. sylvestris;T5-C;200;1.0471
1325;B167;Bergen;P. sylvestris;T5-C;200;1.0094
1101;B058;Bergen;P. sylvestris;T6-C;200;1.4601
1113;B059;Bergen;P. sylvestris;T6-C;200;2.1686
1129;B060;Bergen;P. sylvestris;T6-C;200;1.1018
1133;B073;Bergen;P. sylvestris;T7-C;200;1.4556
1157;B074;Bergen;P. sylvestris;T7-C;200;1.9258
1168;B075;Bergen;P. sylvestris;T7-C;200;1.6785
1134;B088;Bergen;P. sylvestris;T8-C;200;1.1630
1158;B089;Bergen;P. sylvestris;T8-C;200;1.5783
1170;B090;Bergen;P. sylvestris;T8-C;200;1.3273
1262;B150;Bergen;P. sylvestris;T9-C;200;1.5148
1271;B151;Bergen;P. sylvestris;T9-C;200;1.4895
1322;B170;Bergen;P. sylvestris;T9-C;200;1.1565
1265;B153;Bergen;P. sylvestris;T10-C;200;1.7717
1274;B154;Bergen;P. sylvestris;T10-C;200;1.0879
1289;B155;Bergen;P. sylvestris;T10-C;200;1.3170
1745;N219;Cordoba;P. sylvestris;P13.5;200;1.3561
1945;N304;Cordoba;P. sylvestris;P13.5;200;1.4335
2045;N321;Cordoba;P. sylvestris;P13.5;200;1.2642
1943;N296;Dublin;P. sylvestris;P1.2;200;1.3492
2038;N318;Dublin;P. sylvestris;P1.2;200;1.2727
1725;N226;Edinburgh;P. sylvestris;P8.4;200;1.7683
1728;N225;Edinburgh;P. sylvestris;P8.4;200;1.5188
1736;N224;Edinburgh;P. sylvestris;P8.4;200;1.4431
1413;G010;Geneve;P. sylvestris;P3.1;200;1.3153
1441;G011;Geneve;P. sylvestris;P3.1;200;1.7434
1452;G012;Geneve;P. sylvestris;P3.1;200;1.9670
1459;G064;Geneve;P. sylvestris;P4.3;200;1.8883
1489;G065;Geneve;P. sylvestris;P4.3;200;2.3737
1544;G066;Geneve;P. sylvestris;P4.3;200;1.5396
1492;G034;Geneve;P. sylvestris;P8.3;200;2.7619
1547;G035;Geneve;P. sylvestris;P8.3;200;2.1435
1558;G036;Geneve;P. sylvestris;P8.3;200;3.4285
1942;N303;Ljubljana;P. sylvestris;P6.2;200;1.1358
1994;N324;Ljubljana;P. sylvestris;P6.2;200;0.9974
1993;N328;Munich;P. sylvestris;P12.4;200;1.1247
1996;N327;Munich;P. sylvestris;P12.4;200;1.1184
1726;N233;Podgorica;P. sylvestris;P3.1;200;1.5228
1940;N298;Podgorica;P. sylvestris;P3.1;200;1.4635
2043;N333;Podgorica;P. sylvestris;P3.5;200;1.0768
1729;N238;Pontevedra;P. sylvestris;P9.3;200;1.4004
1733;N236;Pontevedra;P. sylvestris;P9.3;200;1.6654
1932;N297;Pontevedra;P. sylvestris;P9.3;200;1.8288
1743;N241;Salzburg;P. sylvestris;P1.1;200;1.5055
1935;N299;Salzburg;P. sylvestris;P1.1;200;1.6786
2036;N337;Salzburg;P. sylvestris;P1.1;200;1.1736
1746;N243;Stockholm;P. sylvestris;P5.3;200;1.5694
1939;N302;Stockholm;P. sylvestris;P5.3;200;2.1314
1992;N312;Stockholm;P. sylvestris;P5.3;200;1.3820
1936;N305;Tirana;P. sylvestris;P3.1;200;1.1487
1991;N339;Tirana;P. sylvestris;P3.1;200;1.2785
