;Bergen;Stockholm;Benmore;Edinburgh;Dublin;Bedgebury;Munich;Salzburg;Geneva;Ljubljana;Podgorica;Pontevedra;Tirana;Cordoba
2014-01-01;5,34999988;2,809999937;4,4699999;4,109999908;6,939999845;7,339999836;-0,569999987;-1,899999958;3,659999918;3,279999927;6,009999866;11,52999974;7,989999821;9,049999798
2014-01-02;6,72999985;3,829999914;5,399999879;5,279999882;6,789999848;8,9699998;2,029999955;0,609999986;4,559999898;4,189999906;6,339999858;12,35999972;7,779999826;12,54999972
2014-01-03;6,489999855;3,969999911;4,729999894;4,4699999;5,569999876;9,309999792;4,139999907;1,729999961;4,00999991;6,569999853;6,099999864;12,24999973;6,749999849;14,13999968
2014-01-04;5,769999871;4,549999898;4,099999908;3,939999912;4,089999909;7,769999826;4,729999894;3,209999928;5,219999883;6,509999854;5,839999869;8,879999802;6,639999852;11,97999973
2014-01-05;6,099999864;2,619999941;3,309999926;2,189999951;6,409999857;4,819999892;3,269999927;2,859999936;2,859999936;7,649999829;7,509999832;10,58999976;7,329999836;8,829999803
2014-01-06;5,969999867;3,839999914;6,469999855;6,099999864;7,719999827;10,34999977;2,779999938;1,869999958;2,66999994;6,209999861;7,129999841;12,03999973;7,729999827;9,889999779
2014-01-07;7,259999838;5,80999987;7,199999839;7,279999837;7,729999827;10,54999976;8,299999814;3,619999919;7,649999829;6,599999852;7,379999835;12,36999972;8,539999809;9,319999792
2014-01-08;6,569999853;5,659999873;6,72999985;6,579999853;5,939999867;9,189999795;7,639999829;4,089999909;7,899999823;5,519999877;7,379999835;12,61999972;7,899999823;10,93999976
2014-01-09;3,459999923;5,329999881;3,799999915;3,509999922;4,589999897;9,689999783;8,139999818;4,239999905;7,929999823;5,36999988;7,499999832;11,88999973;7,889999824;10,34999977
2014-01-10;2,379999947;-0,379999992;4,609999897;4,279999904;5,319999881;6,159999862;3,339999925;3,289999926;6,69999985;7,59999983;7,209999839;10,37999977;6,989999844;9,309999792
2014-01-11;2,119999953;-3,079999931;2,349999947;1,33999997;4,059999909;7,649999829;3,779999916;3,11999993;4,949999889;7,869999824;6,039999865;9,539999787;5,34999988;11,64999974
2014-01-12;-2,489999944;-7,029999843;2,379999947;0,819999982;4,429999901;3,049999932;3,079999931;2,609999942;3,459999923;6,019999865;5,979999866;10,10999977;6,459999856;10,87999976
2014-01-13;-2,959999934;-7,679999828;3,689999918;3,379999924;4,03999991;7,229999838;1,639999963;0,209999995;2,929999935;6,169999862;7,569999831;8,06999982;6,71999985;8,889999801
2014-01-14;-1,039999977;-5,499999877;1,689999962;1,179999974;4,389999902;4,91999989;1,629999964;0,779999983;3,13999993;6,599999852;4,549999898;11,59999974;5,289999882;9,169999795
2014-01-15;-0,729999984;-5,279999882;5,549999876;4,649999896;5,549999876;6,889999846;1,539999966;0,989999978;1,259999972;5,469999878;5,80999987;10,29999977;6,979999844;10,50999977
