no;model;data;type;beta;dic;cri;r2
1;One week;6;w;0.06266;-7.895;91;0.03589
2;Two weeks;6;w;0.0692;-8.019;93;0.06545
3;Three weeks;6;w;0.03491;-8.032;77;-0.05973
4;Four weeks;6;w;0.0222;-8.073;68;-0.0854
5;Five weeks;6;w;0.02801;-8.062;72;-0.0752
6;Six weeks;6;w;0.02493;-8.105;69;-0.0825
7;Seven weeks;6;w;0.0141;-8.097;70;-0.09638
8;Eight weeks;6;w;0.01557;-8.112;63;-0.09437
9;Nine weeks;6;w;0.01039;-8.033;60;-0.09782
10;Ten weeks;6;w;0.00431;-8.087;54;-0.10119
11;Eleven weeks;6;w;0.00185;-8.031;52;-0.10189
12;Twelve weeks;6;w;0.00134;-8.109;49;-0.10189
13;Line break;7;w;NA;NA;NA;NA
14;Growing season;8;w;-0.02449;-8.067;31;-0.07811
15;Annual climatology;9;w;-0.02457;-8.003;31;-0.07876
16;Latitude;10;w;0.04151;-8.013;80;-0.03818
1;One week;1;wo;0.1195;-7.293;99.4;0.34373
2;Two weeks;1;wo;0.1329;-8.013;99.9;0.45187
3;Three weeks;1;wo;0.1079;-7.216;98.9;0.2519
4;Four weeks;1;wo;0.1033;-7.012;98.5;0.21271
5;Five weeks;1;wo;0.1111;-6.933;99.1;0.2675
6;Six weeks;1;wo;0.1021;-6.985;98.2;0.20775
7;Seven weeks;1;wo;0.08419;-7.032;95.3;0.09487
8;Eight weeks;1;wo;0.08853;-6.978;95.7;0.11006
9;Nine weeks;1;wo;0.07402;-7.045;92.1;0.03669
10;Ten weeks;1;wo;0.06124;-7.045;87;-0.01588
11;Eleven weeks;1;wo;0.05577;-7.11;85;-0.03234
12;Twelve weeks;1;wo;0.05389;-7.075;84;-0.041
13;Line break;2;wo;NA;NA;NA;NA
14;Growing season;3;wo;0.0037;-7.083;54;-0.12194
15;Annual climatology;4;wo;0.00579;-7.043;55;-0.12187
16;Latitude;5;wo;0.01601;-7.051;61;-0.11211
